Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
922,house,independent,sector 37,0.6,10753.0,3,3,1,2.0,Relatively New,558.0,0,0,0,0,0,0,0
923,flat,tata primanti,sector 72,3.3,15103.0,3,4,3+,15.0,New Property,2185.0,0,1,0,0,0,2,174
925,house,independent,sector 13,0.62,3588.0,6,6,0,3.0,Old Property,192.0,0,0,0,0,0,0,0
926,flat,corona optus,sector 37c,1.22,6912.0,3,4,3,5.0,Relatively New,1665.0,0,0,0,0,0,0,149
927,house,independent,sector 2,3.65,23443.0,9,9,3+,3.0,New Property,1557.0,0,1,0,1,0,1,116
928,flat,bptp terra,sector 37d,1.45,8007.0,3,3,3,8.0,Relatively New,1711.0,0,0,0,0,0,0,149
929,house,sushant lok 1 builder floors,sector 43,1.65,3395.0,4,4,3+,4.0,Moderately Old,540.0,0,0,0,0,1,2,49
930,flat,bptp terra,sector 37d,1.72,7850.0,3,3,3+,10.0,Relatively New,1983.0,0,1,0,0,0,0,31
931,house,independent,sector 57,3.15,20349.0,5,4,3+,2.0,Moderately Old,1548.0,0,0,1,0,0,1,60
932,flat,maruti vihar,sector 28,1.0,9091.0,1,1,1,1.0,Old Property,995.0,1,0,0,1,0,1,80
933,flat,shapoorji pallonji joyville gurugram,sector 102,1.8,10638.0,3,3,3,1.0,Relatively New,1531.0,0,0,0,0,0,0,141
935,flat,brisk lumbini terrace homes,sector 109,1.38,6339.0,3,3,1,4.0,Moderately Old,2419.0,0,0,0,0,0,0,20
936,house,independent,sector 57,3.49,20197.0,4,4,2,3.0,Moderately Old,1728.0,1,1,0,1,0,1,49
937,flat,tata primanti,sector 72,3.21,16050.0,3,4,3+,15.0,Relatively New,2140.0,0,1,0,0,0,1,174
938,flat,bestech park view ananda,sector 81,1.1,6687.0,3,2,3+,5.0,Relatively New,1319.0,0,0,0,0,0,0,150
939,flat,mvn athens,sohna road,0.21,4667.0,1,1,1,11.0,New Property,500.0,0,0,0,0,0,0,16
940,house,sobha city,sector 108,10.5,14323.0,5,4,3+,1.0,Relatively New,7331.0,0,0,0,0,0,0,59
941,flat,emaar mgf palm terraces,sector 66,4.5,10598.0,5,5,3+,11.0,New Property,3321.0,0,1,0,0,0,0,105
942,house,dlf city phase 1,sector 26,5.5,30556.0,4,4,3+,2.0,Moderately Old,1800.0,0,0,1,1,0,0,49
943,flat,paras dews,sector 106,1.2,11605.0,3,3,3,12.0,Relatively New,1145.0,1,0,0,0,0,0,158
944,house,bptp astaire gardens,sector 70a,6.5,27873.0,4,4,3+,2.0,New Property,2332.0,1,1,0,1,0,1,160
945,house,independent,sector 41,11.0,33951.0,4,4,2,3.0,New Property,3240.0,1,1,0,1,0,0,35
946,flat,pareena mi casa,sector 68,1.7,8500.0,4,4,3+,23.0,New Property,1809.0,0,0,0,0,0,0,88
947,flat,vatika lifestyle homes,sector 83,1.1,6268.0,3,3,2,8.0,Relatively New,1588.0,1,0,1,1,0,1,174
948,flat,umang winter hills,sector 77,0.71,5306.0,2,2,2,6.0,Relatively New,1057.0,1,0,0,0,0,0,108
949,house,vipul world,sector 48,3.35,5583.0,6,5,3+,3.0,Moderately Old,6000.0,0,0,0,0,0,0,53
950,house,unitech south city,sector 50,5.88,27222.0,9,9,3+,3.0,Relatively New,2160.0,1,1,0,1,1,2,128
951,house,eros rosewood villas,sector 49,2.5,13514.0,3,3,2,2.0,Moderately Old,1900.0,0,0,1,1,0,0,59
952,flat,godrej nature plus,sector 33,1.31,15976.0,2,2,2,4.0,Under Construction,85.0,0,0,0,0,0,0,92
953,flat,chd avenue,sector 71,0.95,7917.0,2,2,0,5.0,Moderately Old,1200.0,0,0,0,0,0,0,0
954,flat,dlf the ultima,sector 81,2.4,11412.0,3,4,3+,19.0,Relatively New,1903.0,0,1,0,0,0,2,174
955,house,independent,sector 49,4.5,15625.0,8,8,3,3.0,Moderately Old,2880.0,1,1,1,1,0,2,151
956,flat,tulip monsella,sector 53,6.02,20816.0,3,3,3,29.0,Under Construction,2892.0,0,0,0,0,0,0,68
957,flat,tulip petals,sector 89,1.55,10000.0,3,2,3,6.0,Moderately Old,1403.0,0,0,1,0,0,1,111
958,house,independent,sector 12,3.71,19818.0,3,3,1,4.0,Moderately Old,1872.0,0,0,0,1,0,0,0
959,flat,shree vardhman victoria,sector 70,1.07,7926.0,2,2,3,8.0,Relatively New,1222.0,1,0,0,0,0,0,108
960,flat,eldeco accolade,sohna road,0.96,6571.0,2,2,3+,14.0,Relatively New,1131.0,1,0,0,0,0,0,151
961,flat,m3m ikonic,sector 68,1.8,9231.0,3,3,3+,18.0,Relatively New,1845.0,0,0,0,0,0,1,126
962,flat,shapoorji pallonji joyville gurugram,sector 102,0.97,16441.0,2,2,2,10.0,Relatively New,742.0,0,0,0,0,0,0,151
963,house,independent,sector 37d,1.16,7537.0,1,1,0,1.0,Relatively New,1535.0,0,0,0,0,0,0,0
964,house,independent,sector 24,5.25,38889.0,4,4,3+,2.0,Relatively New,1350.0,0,1,0,1,0,1,72
965,flat,vatika lifestyle homes,sector 83,1.04,5699.0,3,2,2,2.0,Moderately Old,1500.0,0,0,0,0,0,0,95
966,flat,mapsko paradise,sector 83,0.75,5597.0,3,3,3,10.0,New Property,1162.0,0,0,0,0,1,1,49
967,flat,signature global solera,sector 107,0.35,6494.0,2,2,2,8.0,Relatively New,608.0,0,0,0,0,0,0,45
968,flat,shree kirpalu gi sector 52,sector 52,1.45,7632.0,3,3,3+,7.0,Relatively New,1800.0,0,0,0,0,1,1,108
969,flat,signature global synera,sector 81,0.39,6500.0,2,2,2,6.0,Relatively New,667.0,0,0,0,0,0,0,37
970,house,independent,sector 23,5.5,13095.0,9,9,3+,3.0,Moderately Old,4200.0,0,1,0,0,1,1,0
972,flat,bestech park view sanskruti,sector 92,2.0,8333.0,4,5,3+,12.0,Relatively New,2453.0,0,1,0,0,0,1,60
974,flat,professional society,manesar,0.75,3067.0,3,4,3,3.0,Relatively New,2717.0,0,1,0,0,0,0,21
975,flat,emaar mgf palm studios,sector 66,1.7,13503.0,2,2,2,7.0,Relatively New,1072.0,0,0,0,0,1,0,99
976,house,international city by sobha phase 1,sector 109,5.75,16429.0,4,4,2,3.0,Relatively New,4800.0,0,1,0,0,0,0,146
977,flat,bestech park view residency,sector 2,1.55,8073.0,3,4,3+,4.0,Old Property,1738.0,0,1,0,0,0,0,84
978,flat,bestech park view city,sector 49,2.9,12170.0,4,4,3+,5.0,Moderately Old,2157.0,0,1,0,0,0,0,117
979,flat,signature global park,sohna road,0.9,6254.0,3,3,3,3.0,Relatively New,1599.0,0,0,0,1,0,0,96
980,flat,m3m merlin,sector 67,2.65,12946.0,3,3,3,0.0,Relatively New,2047.0,0,0,0,0,1,1,174
981,flat,bptp mansions park prime,sector 66,3.0,10854.0,4,4,3,3.0,Relatively New,2700.0,1,1,0,1,1,1,174
